estate_id,phase,block,floor,flat,rooms,area_sqft,price,price_per_sqft,direction,source,listing_url,listed_date
1,3期,百老匯街95號,低層,E,1房,950,9957900,10482,西,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_0,2026-08-18
1,8期,百老匯街119號,高層,B,1房,304,4179696,13749,北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_1,2026-08-28
1,6期,百老匯街99號,低層,G,1房,900,11026800,12252,東北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_2,2026-08-26
1,2期,百老匯街79號,中層,H,3房,700,7877100,11253,東南,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_3,2026-08-25
1,8期,百老匯街101號,低層,H,3房,950,8497750,8945,南,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_4,2026-08-02
1,6期,百老匯街73號,高層,C,1房,400,4094800,10237,北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_5,2026-08-26
1,6期,百老匯街17號,高層,C,3房,465,5388885,11589,東,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_6,2026-08-27
1,7期,百老匯街25號,低層,C,1房,350,2971150,8489,南,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_7,2026-08-03
1,1期,百老匯街117號,低層,L,2房,850,7673800,9028,北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_8,2026-08-14
1,8期,百老匯街75號,高層,B,2房,800,9979200,12474,西北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_9,2026-08-23
1,1期,百老匯街83號,中層,J,2房,800,8959200,11199,西南,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_10,2026-08-16
1,1期,百老匯街49號,高層,E,2房,600,8202600,13671,西北,centanet,https://hk.centanet.com/findproperty/detail/Mei Foo Sun Chuen_11,2026-08-11
